Adresse;Longitude;Latitude
10 rue Clovis Hugues 13003 Marseille;5.38761998401501;43.3085122376985
184 avenue de Luminy 13009 Marseille;5.43653697994331;43.2288388194373
20 boulevard de Gabes 13008 Marseille;5.38350168265648;43.2649830549375
Place Carli 13001 Marseille;5.38307301225626;43.2957006688621
42, La Canebiere 13001 Marseille;5.37816524543312;43.2964367302696
2, place LeVerrier 13004 Marseille;5.39342522454639;43.3057608162919
41, rue Jobin 13003 Marseille;5.39029799248336;43.3097547935523
225 avenue des Aygalades 13015 Marseille;5.36618311840202;43.3474255274389
10 ter, square Belsunce 13001 Marseille;5.37639898333874;43.2978444939668
Traverse de la Buzine 13011 Marseille;5.50245402391495;43.2953644742687
5 avenue Rostand 13003 Marseille;5.37772956823579;43.3119591142001
4, Rue Bernard du Bois 13001 Marseille;5.37528223787718;43.3016126490531
2 square Berthier 13011 Marseille;5.43393359688718;43.294254090464
2, avenue Marechal Foch 13004 Marseille;5.39664704558906;43.3024217145399
Place du Refuge 13002 Marseille;5.36693922324066;43.2979610574298
Centre vie de Bonneveine 13008 Marseille;5.38817310387756;43.248949618492
Avenue Raimu 13014 Marseille;5.39880429748832;43.3309707007976
6 Boulevard Jean Salducci 13016 Marseille;5.3425713208347;43.3573277542971
Place de Castellane 13006 Marseille;5.38417823939124;43.2855438490645
58 cours Belsunce 13001 Marseille;5.37659100529593;43.2989287782018
283 avenue du Prado 13008 Marseille;5.39138648003393;43.2732727149894
37 rue Vincent Scotto 13001 Marseille;5.37978195115481;43.2975574926332
2 rue leon Bancal 13011 Marseille;5.48047725796589;43.2890865832391
Avenue du Marechal Foch 13004 Marseille;5.39974863163256;43.3002696220939
36 avenue du Prado 13006 Marseille;5.3844527307859;43.2838289688399
Place Raphael 13016 Marseille;5.33098539384092;43.361083596049
4 place Castellane 13006 Marseille;5.38318920621481;43.2861757071242
Avenue de Hambourg 13008 Marseille;5.39032533912712;43.2487314612722
48 avenue de Saint Just 13004 Marseille;5.40366345580585;43.3152107086434
Place Vivaux 13002 Marseille;5.36799754204733;43.2968007722863
19 rue Grignan 13006 Marseille;5.37811037625864;43.2923051144104
Palais Longchamp 13004 Marseille;5.39405322053094;43.3045281352789
Boulevard Longchamp 13001 Marseille;5.39277839222866;43.3034243316482
Boulevard Longchamp 13004 Marseille;5.39472094477275;43.3038344643591
69 avenue d'Haifa 13008 Marseille;5.38952256097882;43.2503647700183
18 traverse Saint Paul 13013 Marseille;5.40395586660939;43.3281914926401
9 La Canebiere 13001 Marseille;5.37542517686928;43.2958401698064
5 Place des Heros 13013 Marseille;5.43980100591897;43.3522480921161
